Recv_Pkts,Name,Recv_Bytes,Sent_Bytes,Sent_Pkts,Time
154966,BD-1-2,232449713,236227464,157484,06/09/18 9:23:23
175528,BD-1-3,263292308,265434389,176956,06/09/18 9:23:23
168809,BD-1-4,253214528,246270894,164180,06/09/18 9:23:23
179451,BD-1-5,269177469,255419685,170279,06/09/18 9:23:23
166460,BD-1-6,249691335,267631998,178421,06/09/18 9:23:23
145663,BD-2-4,218495769,241939322,161292,06/09/18 9:23:23
145013,BD-2-6,217519822,261913299,174608,06/09/18 9:23:23
152444,BD-3-5,228666210,217316374,144877,06/09/18 9:23:23
154170,BD-3-6,231255584,253696363,169130,06/09/18 9:23:23
181598,BD-4-6,272397508,228390721,152260,06/09/18 9:23:23
156828,BD-5-6,235242771,212528917,141685,06/09/18 9:23:23
156615,BD-1-2,234923943,212958029,141972,06/09/18 9:23:28
141379,BD-1-3,212069926,229210515,152807,06/09/18 9:23:28
168237,BD-1-4,252355617,211689863,141126,06/09/18 9:23:28
141700,BD-1-5,212550470,248741557,165827,06/09/18 9:23:28
149297,BD-1-6,223945753,239823342,159882,06/09/18 9:23:28
171162,BD-2-4,256743910,216924052,144616,06/09/18 9:23:28
162805,BD-2-6,244208666,263121413,175414,06/09/18 9:23:28
159474,BD-3-5,239212422,249410722,166273,06/09/18 9:23:28
169397,BD-3-6,254096532,267364205,178242,06/09/18 9:23:28
157853,BD-4-6,236780968,224890806,149927,06/09/18 9:23:28
157469,BD-5-6,236204130,240227760,160151,06/09/18 9:23:28
151843,BD-1-2,227765636,234716294,156477,06/09/18 9:23:33
152924,BD-1-3,229387124,254417717,169611,06/09/18 9:23:33
181005,BD-1-4,271508296,241175373,160783,06/09/18 9:23:33
167892,BD-1-5,251838139,267311394,178207,06/09/18 9:23:33
176106,BD-1-6,264159298,261569754,174379,06/09/18 9:23:33
159862,BD-2-4,239794053,234700509,156467,06/09/18 9:23:33
162921,BD-2-6,244382614,221290190,147526,06/09/18 9:23:33
140302,BD-3-5,210454182,244386230,162924,06/09/18 9:23:33
158033,BD-3-6,237049697,261718142,174478,06/09/18 9:23:33
180285,BD-4-6,270428063,238037755,158691,06/09/18 9:23:33
173120,BD-5-6,259680361,241915148,161276,06/09/18 9:23:33
173526,BD-1-2,260289278,244425841,162950,06/09/18 9:23:38
150757,BD-1-3,226136319,265083490,176722,06/09/18 9:23:38
175542,BD-1-4,263313980,213688438,142458,06/09/18 9:23:38
150615,BD-1-5,225923387,240008663,160005,06/09/18 9:23:38
154597,BD-1-6,231896303,257914831,171943,06/09/18 9:23:38
163849,BD-2-4,245774845,245601638,163734,06/09/18 9:23:38
166906,BD-2-6,250359135,227113990,151409,06/09/18 9:23:38
176553,BD-3-5,264830226,245640278,163760,06/09/18 9:23:38
143561,BD-3-6,215342761,265443355,176962,06/09/18 9:23:38
164525,BD-4-6,246787697,255191416,170127,06/09/18 9:23:38
180857,BD-5-6,271286727,253332836,168888,06/09/18 9:23:38
181421,BD-1-2,272132291,259627480,173084,06/09/18 9:23:43
155425,BD-1-3,233138179,217998467,145332,06/09/18 9:23:43
166631,BD-1-4,249947002,244377751,162918,06/09/18 9:23:43
172213,BD-1-5,258320043,210436064,140290,06/09/18 9:23:43
144741,BD-1-6,217112917,215670977,143780,06/09/18 9:23:43
152886,BD-2-4,229329118,237367048,158244,06/09/18 9:23:43
158285,BD-2-6,237428167,224643630,149762,06/09/18 9:23:43
149553,BD-3-5,224330627,258124938,172083,06/09/18 9:23:43
160459,BD-3-6,240689136,256276549,170851,06/09/18 9:23:43
178651,BD-4-6,267977097,221031677,147354,06/09/18 9:23:43
148079,BD-5-6,222119045,267546667,178364,06/09/18 9:23:43
166044,BD-1-2,249067078,227637450,151758,06/09/18 9:23:48
159228,BD-1-3,238842381,270622359,180414,06/09/18 9:23:48
169349,BD-1-4,254023975,236693588,157795,06/09/18 9:23:48
154953,BD-1-5,232430902,224976064,149984,06/09/18 9:23:48
162828,BD-1-6,244242948,235001350,156667,06/09/18 9:23:48
161567,BD-2-4,242350764,210355199,140236,06/09/18 9:23:48
152202,BD-2-6,228304437,215993048,143995,06/09/18 9:23:48
144300,BD-3-5,216450478,265957316,177304,06/09/18 9:23:48
157489,BD-3-6,236233878,218618790,145745,06/09/18 9:23:48
155319,BD-4-6,232978549,267368338,178245,06/09/18 9:23:48
147413,BD-5-6,221120179,255148310,170098,06/09/18 9:23:48
141546,BD-1-2,212319006,243878240,162585,06/09/18 9:23:53
144926,BD-1-3,217389609,227834930,151889,06/09/18 9:23:53
175608,BD-1-4,263412688,263977972,175985,06/09/18 9:23:53
160923,BD-1-5,241384962,235447469,156964,06/09/18 9:23:53
174427,BD-1-6,261641099,259696548,173131,06/09/18 9:23:53
141955,BD-2-4,212932723,258477302,172318,06/09/18 9:23:53
153261,BD-2-6,229891960,224253935,149502,06/09/18 9:23:53
151844,BD-3-5,227766030,236822866,157881,06/09/18 9:23:53
153561,BD-3-6,230342736,252661878,168441,06/09/18 9:23:53
171301,BD-4-6,256952189,210498337,140332,06/09/18 9:23:53
161764,BD-5-6,242646135,232553998,155035,06/09/18 9:23:53
168517,BD-1-2,252776644,213647717,142431,06/09/18 9:23:58
179089,BD-1-3,268634802,220416583,146944,06/09/18 9:23:58
178850,BD-1-4,268276129,250510834,167007,06/09/18 9:23:58
151843,BD-1-5,227764760,248290565,165527,06/09/18 9:23:58
141695,BD-1-6,212543996,235319171,156879,06/09/18 9:23:58
175938,BD-2-4,263907155,233326998,155551,06/09/18 9:23:58
158583,BD-2-6,237874693,237020497,158013,06/09/18 9:23:58
174910,BD-3-5,262365650,253611319,169074,06/09/18 9:23:58
170546,BD-3-6,255819890,236017409,157344,06/09/18 9:23:58
161782,BD-4-6,242673700,227747901,151831,06/09/18 9:23:58
164557,BD-5-6,246835898,247649852,165099,06/09/18 9:23:58
139923,BD-1-2,209885432,220464207,146976,06/09/18 9:24:03
169198,BD-1-3,253797380,257834868,171889,06/09/18 9:24:03
174522,BD-1-4,261784254,253332227,168888,06/09/18 9:24:03
167111,BD-1-5,250666795,248647484,165764,06/09/18 9:24:03
148397,BD-1-6,222596985,247929034,165286,06/09/18 9:24:03
174609,BD-2-4,261914908,257262246,171508,06/09/18 9:24:03
169697,BD-2-6,254545596,238269800,158846,06/09/18 9:24:03
167918,BD-3-5,251877990,244976708,163317,06/09/18 9:24:03
152824,BD-3-6,229237362,259500449,173000,06/09/18 9:24:03
154758,BD-4-6,232137485,252746456,168497,06/09/18 9:24:03
143809,BD-5-6,215714467,253082400,168721,06/09/18 9:24:03
163963,BD-1-2,245945388,218139241,145426,06/09/18 9:24:08
169077,BD-1-3,253616871,228445206,152296,06/09/18 9:24:08
178986,BD-1-4,268480041,237927118,158618,06/09/18 9:24:08
150853,BD-1-5,226279838,227239949,151493,06/09/18 9:24:08
161508,BD-1-6,242262634,252749917,168499,06/09/18 9:24:08
171107,BD-2-4,256661070,214588751,143059,06/09/18 9:24:08
153701,BD-2-6,230552297,209935183,139956,06/09/18 9:24:08
169267,BD-3-5,253901891,210878289,140585,06/09/18 9:24:08
140846,BD-3-6,211270211,269950815,179967,06/09/18 9:24:08
147673,BD-4-6,221510764,256331479,170887,06/09/18 9:24:08
154436,BD-5-6,231654444,256368453,170912,06/09/18 9:24:08
170538,BD-1-2,255808258,217009980,144673,06/09/18 9:24:13
161435,BD-1-3,242152662,223953847,149302,06/09/18 9:24:13
163344,BD-1-4,245016462,237290522,158193,06/09/18 9:24:13
177315,BD-1-5,265972972,270751141,180500,06/09/18 9:24:13
157605,BD-1-6,236408210,251437667,167625,06/09/18 9:24:13
176014,BD-2-4,264021838,238989971,159326,06/09/18 9:24:13
166014,BD-2-6,249021714,227400738,151600,06/09/18 9:24:13
158064,BD-3-5,237096820,241011675,160674,06/09/18 9:24:13
